label,melody
1,0 1 2 116 11 90 65 31 30 66 8 31 14 74 86 27 32 78 8 27 15 69 65 25 33 66 8 31 18 68 65 31 24 66 51 25 26 68 8 31 0 1 60 65 31 28 68 51 6 11 90 65 31 30 68 8 31 14 34 86 31 32 68 8 31 15 66 65 31 33 68 8 31 18 60 65 31 24 68 86 13 26 71 8 31 0 1 16 65 31 28 78 86 112 15 90 86 6 18 60 65 6 20 60 5 112 0 7 69 63 31 29 60 65 31 10 66 8 6 11 74 5 23 15 71 65 23 20 71 63 23 0 7 90 5 9 11 90 53 23 15 78 42 31 33 68 5 31 18 60 42 27 24 68 65 6 0 1 68 65 31 28 68 5 31 7 34 42 31 29 60 65 31 10 68 5 31 37 60 42 31 11 68 65 31 30 60 5 31 14 34 42 31 32 68 65 31 15 68 51 31 33 41 42 27 18 41 51 27 24 68 57 31 20 60 42 31 26 34 51 27 0 1 34 42 31 1 60 57 31 7 60 51 27 29 34 57 31 10 34 42 31 37 16 51 31 11 68 57 31 30 16 42 31 14 60 51 27 32 60 57 31 15 66 42 25 18 68 65 6 20 71 53 64 0 11 69 53 6 14 66 42 6 15 68 51 61
1,0 1 69 45 6 7 67 43 46 11 71 45 46 15 78 43 6 18 68 73 6 20 67 45 6 0 1 71 44 6 7 67 73 46 11 78 44 58 0 7 78 50 6 10 67 48 6 11 67 44 6 14 67 54 6 15 78 45 6 18 66 44 172 0 7 69 54 6 10 67 45 6 11 68 43 6 14 71 43 77 20 60 44 31 26 34 54 31 0 1 66 44 13 29 34 44 13 11 34 44 46 15 34 17 46 20 41 5 6 26 41 12 95
1,0 1 2 106 10 4 45 27 11 16 45 9 11 41 47 9 32 16 45 6 32 41 57 6 18 16 44 31 20 4 45 49 0 11 16 57 31 30 16 44 25 32 4 45 9 32 34 47 6 18 21 45 31 18 41 48 31 0 10 16 45 27 37 60 57 31 11 16 44 9 32 4 8 46 32 34 5 46 0 10 4 45 27 11 16 45 9 11 41 47 9 32 16 45 6 32 41 57 6 18 16 44 31 20 4 45 49 0 11 16 57 31 30 16 44 25 32 4 45 9 32 34 47 6 18 21 45 31 18 41 48 31 0 10 16 45 27 37 60 57 31 11 16 44 9 32 41 44 9 18 34 45 139 0 11 68 53 31 30 34 43 31 14 34 53 27 32 34 73 27 32 41 45 9 18 41 51 27 18 41 43 31 26 68 43 25 0 28 34 5 6 29 4 8 27 10 41 5 64 10 41 8 64 32 41 5 6 32 16 8 25 33 52 8 27 24 34 45 27 20 60 44 27 26 68 47 27 0 1 41 50 27
1,0 1 2 55 11 60 51 46 15 67 42 46 20 71 79 108 0 11 71 65 46 15 71 42 46 20 71 63 112 0 11 67 51 46 15 71 42 46 20 71 79 61 0 10 78 51 6 11 67 42 46 15 68 65 27 18 78 63 25
1,0 1 2 106 28 66 86 6 29 71 8 6 37 74 17 49 33 74 5 6 24 71 63 23 0 29 78 63 27 10 66 5 31 37 68 63 64 33 78 22 6 24 68 8 64 0 29 60 86 25 10 60 8 31 37 71 17 112 33 66 5 6 24 68 63 46 26 66 17 6 0 28 68 45 6 29 68 53 25 37 78 53 61 0 29 66 17 6 37 78 53 112 33 66 17 25 24 66 17 6 26 34 63 6 0 28 68 17 25 29 66 57 9 37 68 44 23 30 66 45 139 0 28 34 51 6 29 34 53 31 10 41 45 25 37 60 53 9 30 66 17 25 32 71 17 6 33 60 86 6 24 68 5 23 26 68 51 6 0 28 66 17 6 29 68 5 6 37 68 63 154
1,0 1 2 111 37 78 57 9 30 60 51 6 32 66 17 9 33 68 53 46 26 68 51 6 0 28 66 57 23 37 66 51 6 30 68 17 6 32 68 53 77 26 66 38 25 0 28 68 92 31 7 66 86 27 29 66 8 194 0 32 68 86 25 33 78 8 31 24 68 63 27 20 68 63 125 0 32 67 5 27 15 68 63 25 18 66 5 31 24 68 63 46 0 28 68 8 31 7 60 86 31 29 66 92 6 37 68 63 25 11 66 8 97 0 14 66 38 31 32 68 92 31 15 78 35 31 33 60 86 6 24 78 8 31 20 68 86 25 26 67 92 6 0 28 66 38 31 7 66 63 113 33 66 38 13 20 66 36 13 0 28 66 92 6 29 66 91 58 0 28 67 92 31 28 66 36 31
1,0 1 75 110 28 34 17 139 24 4 5 27 24 4 47 27 26 56 22 31 26 34 44 31 0 29 19 8 27 29 41 45 27 30 19 86 27 30 41 53 27 33 52 36 27 33 60 17 27 24 21 86 27 24 60 53 27 26 56 8 27 26 16 45 31 0 28 21 22 13 28 16 44 9 37 52 8 25 37 16 45 25 30 21 8 25 30 41 45 25 33 41 86 27 33 16 53 27 26 19 36 27 26 16 17 27 0 30 34 38 31 14 72 36 31 32 72 86 31 15 56 8 27 33 4 86 31 18 72 8 25 24 72 22 31 20 72 5 31 26 52 22 25 0 1 19 5 31 28 52 53 9 29 56 17 25 10 21 5 9 11 72 22 49 11 21 17 9 14 4 53 23 20 56 5 31 26 72 22 25 0 28 19 17 25 29 19 5 25 10 62 22 31 37 19 17 6 30 21 5 25 14 56 22 25 32 4 53 49 26 19 17 31 0 1 21 53 31 28 41 45 9 29 21 44 6 37 56 53 9 30 19 17 88 26 21 22 25 26 21 17 25 26 19 53 25 0 28 19 22 25 28 19 17 25 28 4 53 25 29 4 8 25 29 56 5 25 29 52 43 25 37 19 8 31 37 16 5 25 37 16 43 6 30 19 22 25 30 16 17 25 32 4 22 31 32 16 17 31 33 21 8 31 33 16 5 25 24 19 8 31 24 4 5 31 26 21 22 46 0 28 19 17 9 10 52 8 6 10 21 5 23 30 52 22 31 30 19 17 27 15 16 22 25 24 21 8 31 24 52 5 25 26 19 22 31 26 114 5 6 0 28 4 22 6 28 4 17 9 10 62 22 6 10 72 43 9 30 19 22 23 30 52 17 46 30 52 45 64 24 41 22 31 20 72 17 25 26 114 43 25 0 1 56 45 31 28 21 53 23 10 21 17 9 30 72 17 31 30 4 53 46 33 115 17 31 26 60 17 31 0 1 19 53 31 28 52 44 9 10 21 57 6 11 56 44 31 30 133 45 31 14 114 53 6 15 114 17 25 18 21 53 25 24 52 45 31 20 72 44 31 26 52 47 31 0 28 41 50 77 30 56 45 31 30 52 47 25 32 19 45 31 32 19 47 31 18 4 53 27 18 4 44 31 26 19 17 27 26 19 45 27 0 7 19 5 31 7 4 53 31 37 16 5 27 37 19 53 27 30 21 22 31 30 52 43 31 32 16 22 27 32 4 43 27 18 19 8 27 18 16 17 31 26 19 22 27 26 16 5 31 0 28 19 63 9 28 19 17 9 10 56 22 6 10 19 5 6 30 19 63 9 30 19 17 9 15 21 22 25 15 52 5 6 24 19 63 27 24 4 17 31 26 19 22 31 0 1 72 5 27 28 4 22 6 28 41 17 9 10 16 5 9 30 19 22 27 30 4 17 31 15 16 17 27 33 56 53 25 18 72 45 31 24 52 44 31 20 4 45 25 26 72 44 31 0 1 16 50 25 28 68 47 23 10 52 44 13 30 52 17 13 30 41 45 88 26 21 43 27 0 1 21 53 31 28 62 43 31 7 72 17 31 29 56 43 31 10 72 17 31 10 56 5 31 37 226 12 27 11 197 5 25 30 134 17 31 14 62 17 31 32 21 5 31 32 41 22 31
1,0 1 2 157 28 71 73 6 29 68 79 31 10 66 42 23 11 90 44 6 14 41 59 27 14 60 73 27 32 60 43 9 33 16 79 31 18 34 12 9 26 68 43 6 0 28 71 17 23 10 71 17 27 30 34 43 31 14 60 17 31 32 66 42 46 24 69 12 27 20 74 22 6 0 1 4 65 31 28 34 79 25 29 16 36 31 10 68 79 6 11 66 22 31 30 60 17 31 14 60 42 31 32 90 12 9 33 52 12 27 33 52 43 27 18 68 12 46 18 60 43 46 26 71 59 6 0 28 71 57 23 30 68 79 31 14 68 65 31 32 66 63 9 18 66 12 13 26 66 42 6 0 28 78 17 13 10 71 12 25 11 69 8 25 14 74 36 27 32 71 36 9 33 34 35 31 18 34 36 31 24 60 40 31 20 90 36 31 26 68 35 25 0 28 90 79 46 29 41 22 27 29 21 44 27 10 69 22 9 10 60 44 6 11 68 79 6 11 41 73 6 14 66 40 31 14 78 42 31 32 41 80 46 32 71 12 46 24 74 39 31 20 60 80 25 26 68 40 31 0 1 68 35 25 28 71 36 9 10 66 40 13 30 71 36 6 32 68 35 13 18 74 22 6 26 90 43 25 0 28 74 73 13 10 69 17 25 11 78 43 27 30 71 73 31 14 90 43 13
1,0 1 2 213 28 60 43 25 29 60 43 25 10 2 213 37 34 43 27 11 34 59 13 14 2 213 32 60 73 112 18 2 213 26 68 51 31 0 1 2 213 1 60 42 31 28 68 12 25 29 34 12 25 10 2 213 37 34 12 31 11 16 73 13 14 2 213 32 41 43 49 18 2 213 26 60 51 31 0 1 2 213 1 34 43 31 28 68 73 77 30 68 44 6 32 34 59 25 15 34 57 25 33 60 47 31 24 68 47 31 20 34 70 25 0 1 60 128 31 28 68 48 31 7 41 70 31 29 41 59 6 37 34 43 6 30 68 73 31 14 34 59 31 32 41 44 6 33 41 59 31 18 41 44 31 24 41 59 31 20 41 44 31 26 41 54 31 0 1 41 128 31 28 60 43 25 28 60 48 25 29 60 43 25 29 60 48 25 37 34 43 27 37 34 48 27 11 34 59 13 11 34 129 13 32 60 73 112 32 60 82 112 26 68 51 31 26 68 128 31 0 1 60 42 31 1 60 70 31 28 68 12 25 28 68 54 25 29 34 12 25 29 34 54 25 37 34 12 31 37 34 54 31 11 16 73 13 11 16 82 13 32 41 43 49 32 41 48 49 26 60 51 31 26 60 128 31 0 1 34 43 31 1 34 48 31 28 68 43 46 28 68 48 46 37 41 17 46 37 41 50 46 32 41 5 13 32 41 47 13 18 41 12 13 18 41 54 13 26 41 22 6 26 41 44 6 0 28 41 12 61 28 41 54 61 14 41 38 46 14 41 5 46
1,0 1 2 3 11 41 22 6 14 34 17 6 15 41 43 6 18 41 44 13 0 1 41 44 6 7 41 44 46 11 41 44 6 14 41 45 46 18 16 57 23 0 1 34 45 46 10 41 43 46 14 41 45 112 20 41 57 6 0 1 34 44 61 14 41 44 6 15 4 45 6 18 34 53 77 0 7 34 53 46 11 34 43 6 14 60 17 61 0 7 4 8 6 10 41 22 23 14 41 22 88 18 41 44 46 0 1 68 73 46 10 41 45 64 14 34 44 46 18 4 63 64 18 60 57 77 0 1 16 22 46 7 41 44 6 10 16 8 46 10 41 45 46 14 19 63 64 14 34 57 64 18 4 22 46 18 41 44 46 0 1 16 8 9 1 34 45 46 10 41 8 64 10 41 45 46 14 16 86 64 14 41 53 46 18 4 35 46 18 41 44 46 0 1 4 35 46 1 41 48 46 10 4 86 61 10 41 50 46 14 19 53 6 15 41 45 6 18 41 35 58 18 41 44 58 0 14 16 8 64 14 41 43 61 18 41 86 46 0 1 41 35 46 1 41 43 6 7 16 53 9 10 34 35 46 10 41 43 58 14 34 36 201 26 41 17 81
