labels,notes,notes_len
0,44 44 46 47 49 47 49 47 46 44 46 47 49 51 52 51 49 51 52 51 52 51 47 46 44 47 46 39 39 44 47 44 47 46 49 47 51 49 52 47 51 49 52 47 51 46 49 44 47 46 49 47 51 49 52 51 54 51 54 52 56 51 54 49 52 52 56 51 55 49 52 47 51 46 49 47 51 44 39 46 39 42 39 44 37 39 42 44 39 37 37 40,92
0,45 46 51 51 50 51 50 48 46 50 46 48 50 48 46 50 48 45 46 48 46 45 46 43 46 43 45 46 45 43 46 46 51 48 50 51 50 48 50 46 50 46 48 50 48 46 50 48 46 31,50
0,35 37 40 47 49 44 37 40 44 42 44 49 44 47 47 49 16 21 20 21 51 49 47 11 44 15 20 18 20 47 18 42 16 15 37 39 16 40 37 39 40 42 44 45 47 40 49,47
0,41 40 36 38 40 36 36 38 40 36 34 33 38 36 36 33 36 38 36 33 31 33 31 33 37 45 40 41 40 36 38 40 38 36 36 38 38 38 40 33 34 36 38 36 40 43 41 36 34 33 31 29 24 22 21 19 17 41,58
0,48 50 51 53 51 50 51 53 51 50 48 50 51 50 48 50 51 50 48 46 48 44 41 43 31 43 39 38 48 31 50 51 36 53 51 50 51 53 51 55 53 51 50 31 38 38 34 31 34 51 50 46 48 27 34 34 32 43 31 41 29 31 43 39 41 39 38 36,68
0,45 57 45 57 47 59 47 59 48 60 50 62 50 62 51 63 39 51 42 54 44 56 44 56 46 58 46 58 49 61 47 59 44,33
0,29 31 32 31 29 27 41 43 44 44 39 39 37 37 36 34 32 36 39 35 34 32 39 37 36 32 29 31 32 27 31 29 32 31 34 27 31 39,38
0,48 47 43 38 40 43 36 48 47 43 38 38 40 43 36 33 35 36 48 35 36 38 50 36 38 40 52 41 40 38 36 31 43 55 41 40 38 36 38 40,40
0,37 40 37 40 39 42 40 44 39 42 37 40 32 37 37 40 37 40 39 42 40 44 39 42 37 40 37 40 37 40 39 42 40 44 39 42 37 40 32 37 37 40 37 40 39 42 40 44 39 42 37 40 44 40 44 42 35 40 39 40 42 44 47 42 45 37 44 37 37 39 40 40 42 40 39 40 39 40 42 40 39 37 39 37 35 32 30 32 37 39 40 42 40 40 42 40 39 37 39 40 42 40 39 37 35 37 39 40 39 37 25,111
0,34 36 43 41 39 39 41 39 38 36 34 36 43 41 39 43 48 46 46 43 46 43 43 39 43 51 50 48 44 46 48 46 43 43 34 41 44 43 41 39 22,41
