intro,outro,solo
35 33 32 30 35 35 33 32 30 35 35 35 37 37 37 35 32 32 37 37 37 35 32 32 32 32 33 33 33 35 33 32 30 30 34 34 34 34 30 30 32 35 35 35 34 32 30 28 30 35 34 32 30 32 35 30 32 30 27 30 27 25 27 27 25 23,30 30 32 35 35 35 34 32 30 28 30 35 34 32 30 32 35 30 32 30 27 30 27 25 27 27 25 23 30 30 32 35 35 35 34 32 30 28 30 35 34 32 30 32 35 30,42 40 44 40 44 40 44 37 42 39 40 37 39 36 37 39 40 42 44 46 47 49 50 54 43 42 40 38 35 33 31 33 30 33 30 31 33 35 37 38 40 41 43 45 48 45 46 41 38 40 45 43 44 50 47 49 50 54 51 52 54 51 47 44 42 40 42 39 40 42 44 46 47 50 52 50 51 54 52 54 51 42 42 42 44 47 50 51 52 54 51 44 44 47 44 44 49 49 47 55 58 56 59 56 58 56 52 53 56 49 49 47 44 47 49 47 49 46 37 36 35 34 42 44 42 45 42 30 46
44 42 44 44 44 52 51 49 47 49 51 52 51 51 49 47 49 47 44 49 49 49 49 44 40 42 44 42 40 42 47 47 42 47 44 42 44 42 42 42 40 42 44 42 40 42 44 42 35 37 51 51 51 51 47 49 51 49,44 44 44 44 44 42 40 42 44 42 40 40 42 44 42 42 35 37 40 37 37 40 40 40 37 40 42 42 40 42 44 42 42 42 42 40 42 44 42 37 39 39 39 35 37 44 44 52 51 49 47 49 51 52 51 49 47 49 47 44,44 52 51 49 49 51 49 47 42 44 44 52 51 49 49 52 49 59 54 56 56 54 52 56 52 57 56 59 61 59 59 56 54 56 54 56 54 52 51 51 52 54 56 54 52 51 47 44 49 44 37
44 46 46 49 51 51 51 51 51 49 49 44 44 42 44 42 44 49 49 49 46 49 46 44 42 42 46 49 51 51 51 49 51 51 44 42 44 46 46 49 51 51 51 49 51 49 44 44 42 44 42 44 46 49 49 49 49 49 54 53 51 39 42 46 44 39 42 46 46 44 46 44 42 44 42,46 46 44 44 44 44 46 42 39 42 42 42 42 44 42 44 44 46 46 49 51 51 51 51 51 49 49 44 44 42 44 42 44 49 49 49 46 49 46 44 42 42 46 49 51 51 51 49 51 51 44 42 44 46 46 49 51 51 51 49 51 49 44,39 35 41 44 42 37 39 42 35 41 44 46 42 41 37 39 46 44 41 42 39 34 35 32 25 30 42 46 49 46 46
38 41 43 43 43 46 43 41 38 41 43 43 43 43 41 43 41 38 36 38 39 39 39 39 38 34 31 34 29 38 38 38 36 34 34 36 38 41 41 41 41 43 41 38 34 43 43 43 43 41 43 41 38 36 38 39 39 39 38 34 31 33 34,41 41 50 50 50 50 48 46 53 50 53 55 55 55 58 55 53 50 53 55 55 55 55 53 55 53 50 48 50 51 51 51 51 50 46 43 46 29 38 38 38 36 34 34 36 38 41 41 41 41 43 41 38 34 43 43 43 43 41 43 41 38 36 38 39,29 31 34 36 38 36 34 36 38 31 34 36 38 36 34 43 43 41 38 41 36 38 34 38 36 34 36 34 29 31 24 26 24 22 19 22 24 19 22 19 22 22 24 26 31 34 36 34 36 34 38 34 31 38 34 31 41 36 38 41 43 45 46 45 41 46 45 41 46 45 41 46 45 41 36 45 41 36 38 36 31 36 29 31 34 36 38 36 34 31 34 36 38 41 43 46 45 41 45 41 36 41 43 46 48 53 48 45 41 36 33 29 31 34 36 41 41
38 38 38 38 38 38 40 38 36 35 35 35 36 35 33 31 28 31 33 35 36 35 33 31,36 35 31 28 36 35 35 33 35 33 31 31 28 31 28 31 28 31 28 33 33 31 30 36 35 31 28,43 35 40 35 45 36 43 35 42 33 38 33 38 43 33 42 33 40 31 36 31 40 31 36 33 42 31 40 39 36
45 43 45 48 50 52 50 45 48 52 50 52 48 47 45 45 43 45 48 38 40 38 36 33 38 43 45 41 43 41 40 38,38 33 38 45 45 43 45 41 43 41 38 40 40 41 40 38 40 36 33 38 33 38 41 41 43 45 41 43 45 43 43 41 40 38 36 38 45 45,43 45 43 45 48 50 52 50 48 52 50 52 48 50 48 45 45 43 45 48 43 45 43 41 38 38 43 45 41 40 38 38
42 44 46 46 46 46 44 42 42 41 39 39 46 44 46 44 44 42 42 39 37 42 44 46 46 46 46 44 42 42 41 39 39 46 44 44 42 44 42 39 44 42 42,27 27 27 27 27 34 32 30 29 29 29 29 29 27 25 27 27 27 27 27 27 34 32 30 32 32 32 32 32 37 35 34 34 39 39 34 32 37 34 32 34 27 27 32 32 32 30 32 34 32 30 34 27 42 44 46 46,37 39 37 46 17 44 42 44 46 46 46 46 44 42 41 39 39 39 44 46 44 44 44 44 42 39 37 37 37 39 42 39 37 39 46 44 42 37 42 46 46 46 46 44 42 41 39 39 44 46 44 44 44 44 42 39 44 42 42 27
39 39 39 39 42 42 42 40 39 39 37 35 35 37 37 37 35 39 39 39 39 42 42 42 44 44 39 37 35 35 35 37 42 39 37 35,40 40 40 42 42 42 44 42 40 40 40 42 42 42 37 39 40 40 40 40 42 42 42 44 42 44 39 39 37 37 37 35 37 37 37 39 39 37 39 39,28 40 39 37 40 25 37 39 40 27 39 35 37 39 32 23 34 35 37 39 20 37 35 42 40 27 40 39 39 37 25 37 35 39 37 22 30 37 37 28 42 42 44 44 23 37 28 39 40 39 37 27 39 39 40 39 35 25 37 39 23 39 27 42 40 40 39 20 39 35 35 35 25 40 39 37 40 27 39 35 35 35 27 35 40
35 35 32 30 32 33 35 35 35 35 32 37 35 35 37 40 40 40 32 35 37 35 28 28 28 35 35 35 28 28 28 25 28 28 28 28 28 28 30 28 28 30 32 35 35 35 35 35 32 30 30 32 28 25 28 25 28 25 28 23 30 30 30 30 28 27 28,32 32 30 28 23 32 32 30 28 30 30 32 35 37 37 37 32 30 32 32 35 37 37 37 37 37 37 37 35 35 35 30 28 28 28 25 32 30 32 32 30 28 23 32 32 30 28 30 30 32 35 37 37 32 30 32 32 35 37 37 37 37 37 37 37 37 35 35 35 28 30 30 28 27 28 28 30,35 37 37 37 37 37 35 32 35 32 35 32 32 33 35 35 33 32 33 28 25 28 33 32 33 35 35 37 39 35 37 39 37 39 40 42 44 44 42 40 42 45 47 49 49 49 51 52 51 52 54 51 52 54 51 52 54 54 52 51 49 52 51 49 47 51 49 47 45 49 47 45 44 49 47 45 42 44 47 45 44 42 40 45 44 42 40 39 44 42 40 39 44 42 40 39 40 37 40 39 37 35 35 35 35 32
30 33 35 35 35 38 37 37 35 33 30 28 26 30 33 35 35 35 38 37 35 33 30 30 33 35 35 35 38 37 37 33 42 42 40 42 38 35 37 38 38 38 42 40 37 35,35 37 38 38 38 42 37 35 33 35 35 35 38 33 35 37 38 38 38 42 40 37 38 37 35 35 37 38 38 38 42 37 35 33 35 35 35 38 33 35 37 38 38 38 42 40 37 37 35 30,42 45 47 47 50 49 47 45 47 45 42 40 38 42 45 47 47 47 50 49 45 52 54 42 45 47 47 50 49 49 47 45 42 40 42 42 45 47 47 50 49 47 45 47 35
